Timestamp,Email address,Name:,ID code:,Grade:,Module 1: First choice,Module 1: Second choice,Module 1: Third choice,Module 1: Fourth choice,Module 2: First choice,Module 2: Second choice,Module 2: Third choice,Module 2: Fourth choice,Module 3: First choice,Module 3: Second choice,Module 3: Third choice,Module 3: Fourth choice
07/03/2023 14:20:45,frederick@gmail.com,Frederick Webb,177778745,11,Group C,Group A (Gr. 12),Group B,Group F,Group F,Group F,Group D,Group E,Group C,Group E,Group A (Gr. 12),Group D
07/03/2023 14:20:45,ashley@gmail.com,Ashley Barker,786863701,12,Group B,Group D,Group F,Group E,Group B,Group B,Group F,Group E,Group D,Group B,Group F,Group E
07/03/2023 14:20:45,joseph@gmail.com,Joseph Eglinton,724166154,12,Group E,Group C,Group B,Group A (Gr. 12),Group B,Group B,Group D,Group E,Group F,Group A (Gr. 12),Group B,Group E
07/03/2023 14:20:45,daniel@gmail.com,Daniel Parrott,498689028,12,Group D,Group A (Gr. 12),Group F,Group C,Group E,Group E,Group F,Group A (Gr. 12),Group C,Group B,Group D,Group F
07/03/2023 14:20:45,brian@gmail.com,Brian Thompson,201397873,12,Group D,Group B,Group C,Group A (Gr. 12),Group E,Group E,Group F,Group D,Group A (Gr. 12),Group B,Group F,Group E
07/03/2023 14:20:45,tomas@gmail.com,Tomas Shively,594202480,12,Group D,Group E,Group A (Gr. 12),Group C,Group B,Group B,Group F,Group E,Group F,Group B,Group E,Group C
07/03/2023 14:20:45,julie@gmail.com,Julie Coles,563842519,12,Group E,Group B,Group D,Group F,Group E,Group E,Group A (Gr. 12),Group C,Group D,Group A (Gr. 12),Group F,Group C
07/03/2023 14:20:45,ralph@gmail.com,Ralph Croteau,817281110,12,Group B,Group E,Group A (Gr. 12),Group F,Group C,Group C,Group F,Group B,Group A (Gr. 12),Group F,Group C,Group B
07/03/2023 14:20:45,lori@gmail.com,Lori Mack,794524140,12,Group F,Group C,Group E,Group A (Gr. 12),Group C,Group C,Group F,Group B,Group C,Group B,Group E,Group A (Gr. 12)
07/03/2023 14:20:45,don@gmail.com,Don Gregory,829581985,12,Group F,Group E,Group D,Group C,Group B,Group B,Group A (Gr. 12),Group E,Group A (Gr. 12),Group C,Group B,Group E
07/03/2023 14:20:45,jennifer@gmail.com,Jennifer Russo,547269864,12,Group C,Group D,Group A (Gr. 12),Group B,Group A (Gr. 12),Group A (Gr. 12),Group C,Group D,Group D,Group F,Group B,Group C
07/03/2023 14:20:45,micheal@gmail.com,Micheal Veit,363280468,12,Group E,Group B,Group A (Gr. 12),Group C,Group A (Gr. 12),Group A (Gr. 12),Group E,Group F,Group C,Group A (Gr. 12),Group D,Group B
07/03/2023 14:20:45,diane@gmail.com,Diane Torres,199536259,12,Group A (Gr. 12),Group F,Group B,Group E,Group A (Gr. 12),Group A (Gr. 12),Group C,Group E,Group D,Group C,Group F,Group B
07/03/2023 14:20:45,tommy@gmail.com,Tommy Brassard,496689933,12,Group C,Group F,Group A (Gr. 12),Group D,Group B,Group B,Group E,Group C,Group F,Group B,Group A (Gr. 12),Group E
07/03/2023 14:20:45,karina@gmail.com,Karina Mccoy,274540999,12,Group E,Group D,Group B,Group F,Group B,Group B,Group D,Group A (Gr. 12),Group D,Group F,Group C,Group B
07/03/2023 14:20:45,tess@gmail.com,Tess Roessler,952854823,12,Group B,Group E,Group D,Group A (Gr. 12),Group A (Gr. 12),Group A (Gr. 12),Group B,Group D,Group B,Group E,Group D,Group C
07/03/2023 14:20:45,louise@gmail.com,Louise Webb,997175149,12,Group B,Group A (Gr. 12),Group F,Group D,Group C,Group C,Group B,Group A (Gr. 12),Group C,Group A (Gr. 12),Group E,Group F
07/03/2023 14:20:45,michael@gmail.com,Michael Simmons,426110972,12,Group E,Group C,Group D,Group F,Group B,Group B,Group A (Gr. 12),Group D,Group C,Group E,Group B,Group D
07/03/2023 14:20:45,larry@gmail.com,Larry Zulauf,778865162,12,Group B,Group C,Group A (Gr. 12),Group E,Group D,Group D,Group C,Group E,Group A (Gr. 12),Group C,Group F,Group E
07/03/2023 14:20:45,gary@gmail.com,Gary Ramos,863503080,12,Group B,Group E,Group D,Group F,Group D,Group D,Group F,Group E,Group A (Gr. 12),Group C,Group B,Group F
07/03/2023 14:20:45,cynthia@gmail.com,Cynthia Snowden,373571189,12,Group F,Group B,Group D,Group C,Group B,Group B,Group A (Gr. 12),Group F,Group E,Group A (Gr. 12),Group F,Group C
07/03/2023 14:20:45,patricia@gmail.com,Patricia Moore,154251327,12,Group A (Gr. 12),Group E,Group C,Group D,Group E,Group E,Group B,Group A (Gr. 12),Group E,Group A (Gr. 12),Group D,Group B
07/03/2023 14:20:45,cameron@gmail.com,Cameron Toliver,786345912,12,Group E,Group C,Group B,Group D,Group D,Group D,Group C,Group B,Group A (Gr. 12),Group E,Group C,Group F
07/03/2023 14:20:45,joseph@gmail.com,Joseph Banks,408758745,12,Group B,Group F,Group D,Group C,Group C,Group C,Group D,Group F,Group C,Group F,Group A (Gr. 12),Group B
07/03/2023 14:20:45,nadia@gmail.com,Nadia Wark,971163283,12,Group B,Group D,Group A (Gr. 12),Group E,Group E,Group E,Group F,Group D,Group D,Group E,Group F,Group A (Gr. 12)
07/03/2023 14:20:45,susan@gmail.com,Susan Santee,359099486,12,Group D,Group F,Group E,Group C,Group A (Gr. 12),Group A (Gr. 12),Group B,Group D,Group D,Group C,Group F,Group B
07/03/2023 14:20:45,jeffery@gmail.com,Jeffery Carollo,875172043,12,Group F,Group E,Group D,Group B,Group A (Gr. 12),Group A (Gr. 12),Group E,Group D,Group C,Group E,Group B,Group A (Gr. 12)
07/03/2023 14:20:45,robert@gmail.com,Robert Ulrich,262315061,12,Group E,Group C,Group B,Group D,Group B,Group B,Group E,Group A (Gr. 12),Group A (Gr. 12),Group B,Group C,Group E
07/03/2023 14:20:45,james@gmail.com,James Mayer,987240921,12,Group A (Gr. 12),Group E,Group D,Group B,Group F,Group F,Group D,Group A (Gr. 12),Group B,Group F,Group D,Group E
07/03/2023 14:20:45,ehtel@gmail.com,Ehtel Chavez,533369918,12,Group C,Group B,Group F,Group E,Group F,Group F,Group E,Group D,Group A (Gr. 12),Group D,Group F,Group B
