name,id,Term 1,Term 2,Term 3
Aaron Velasquez,690246434,Group A (Gr. 12),Group C,Group D
Abbey Bridges,839681256,Group D,Group F,Group E
Abe Dickerson,907915108,Group D,Group F,Group A (Gr. 12)
Adam Hyde,802695205,Group C,Group B,Group B
Adam Nichols,896576107,Group A (Gr. 12),Group F,Group C
Adam Smith,841156238,Group D,Group F,Group C
Adelle Joseph,567144298,Group D,Group A (Gr. 12),Group B
Adina Gust,414270781,Group B,Group B,Group D
Adolph Hartley,438310203,Group D,Group D,Group C
Adriana Brink,226448666,Group A (Gr. 12),Group C,Group F
Agnes Smith,874615566,Group D,Group D,Group D
Aida Mayo,275492111,Group E,Group A (Gr. 12),Group B
Alan Graff,850785361,Group C,Group A (Gr. 12),Group A (Gr. 12)
Alanna Cortez,465491326,Group D,Group A (Gr. 12),Group D
Alba Brown,881956745,Group B,Group A (Gr. 12),Group A (Gr. 12)
Albert Cam,427429590,Group E,Group F,Group A (Gr. 12)
Albert Horn,692918811,Group E,Group C,Group E
Albert Kallam,454400087,Group B,Group F,Group F
Albert Parks,317914412,Group A (Gr. 12),Group A (Gr. 12),Group B
Albert Veronesi,238224300,Group B,Group F,Group E
Albert Weber,306955612,Group E,Group E,Group D
Alex Empie,937809421,Group D,Group F,Group B
Alexander Banks,443425499,Group A (Gr. 12),Group D,Group F
Alexander Bishop,673841769,Group E,Group A (Gr. 12),Group A (Gr. 12)
Alexia Johns,388520239,Group A (Gr. 12),Group F,Group E
Alfonso Resnick,810569093,Group F,Group A (Gr. 12),Group E
Alfonso Taylor,820577615,Group F,Group E,Group D
Alfred Jones,292245491,Group E,Group A (Gr. 12),Group B
Alfred Morin,471520070,Group E,Group A (Gr. 12),Group F
Alice Carroll,609436382,Group D,Group A (Gr. 12),Group A (Gr. 12)
Alice Mallette,468129926,Group F,Group C,Group C
Alice Ramos,996961591,Group B,Group F,Group F
Alice Warner,475425117,Group B,Group C,Group B
Alicia Dufresne,865661514,Group B,Group F,Group C
Alicia Gomez,993926657,Group D,Group D,Group A (Gr. 12)
Allison Ahearn,912437149,Group B,Group F,Group D
Alma Ardito,448526077,Group C,Group E,Group F
Alma Kinder,291651985,Group D,Group B,Group B
Amanda Bloch,973331888,Group D,Group C,Group F
Amanda Hardman,928387949,Group B,Group B,Group C
Amanda James,802508694,Group F,Group D,Group F
Amanda Parker,933428964,Group E,Group D,Group D
Amanda Sosebee,470552223,Group A (Gr. 12),Group F,Group D
Amber Dammeyer,824676843,Group A (Gr. 12),Group B,Group A (Gr. 12)
Amelia Hummel,796473625,Group E,Group D,Group D
Amy Lala,263457590,Group A (Gr. 12),Group C,Group F
Amy Nicolosi,765934298,Group E,Group B,Group F
Amy Vinson,995302209,Group D,Group C,Group D
Ana Friend,752743214,Group E,Group C,Group B
Ana Gonzalez,801796900,Group C,Group D,Group D
Anderson Bratcher,990176346,Group D,Group A (Gr. 12),Group A (Gr. 12)
Andre Esposito,120648652,Group B,Group C,Group C
Andre Hines,864261559,Group E,Group B,Group C
Andreas Chalifoux,239740999,Group C,Group B,Group D
Andres Andrews,325839472,Group E,Group B,Group F
Andres Keim,236321056,Group E,Group F,Group E
Andrew Elliott,823756715,Group F,Group B,Group F
Andrew Goodell,956679209,Group F,Group C,Group E
Andrew Holmes,568584435,Group A (Gr. 12),Group F,Group C
Andrew Horn,178771767,Group B,Group E,Group F
Andrew King,996397211,Group E,Group C,Group F
Andrew Murphy,137980187,Group A (Gr. 12),Group D,Group B
Andrew Parado,986318957,Group A (Gr. 12),Group C,Group A (Gr. 12)
Andrew Vinyard,180677701,Group A (Gr. 12),Group F,Group B
Andrew Williams,683008040,Group F,Group A (Gr. 12),Group A (Gr. 12)
Andrew York,267329990,Group C,Group E,Group B
Angela Avila,918391284,Group C,Group E,Group A (Gr. 12)
Angela Bailey,490627479,Group C,Group F,Group C
Angela Benz,647983398,Group C,Group B,Group A (Gr. 12)
Angela Daniels,880218234,Group D,Group A (Gr. 12),Group A (Gr. 12)
Angie Costello,191450388,Group D,Group A (Gr. 12),Group B
Angie Shull,558828929,Group C,Group A (Gr. 12),Group C
Angie Valdovinos,944139981,Group F,Group D,Group C
Anita Watson,167977458,Group A (Gr. 12),Group A (Gr. 12),Group D
Anita Williams,753416054,Group B,Group D,Group C
Ann Flowers,622060314,Group C,Group E,Group C
Ann French,245205194,Group C,Group F,Group F
Ann Littlejohn,702882581,Group D,Group C,Group C
Ann Massey,148953399,Group F,Group A (Gr. 12),Group E
Ann Soto,920372148,Group D,Group A (Gr. 12),Group A (Gr. 12)
Ann Williams,776479849,Group A (Gr. 12),Group C,Group B
Anna Berardino,591200273,Group B,Group D,Group D
Anna Merriweather,213554763,Group C,Group F,Group E
Anna Rivera,419349086,Group A (Gr. 12),Group E,Group A (Gr. 12)
Anne Snyder,107517591,Group B,Group B,Group E
Annette Notter,512045366,Group B,Group D,Group C
Annie Fanning,650422143,Group D,Group B,Group B
Annie Isip,937218057,Group D,Group B,Group E
Anthony Black,460763003,Group E,Group F,Group F
Anthony Brown,572968957,Group E,Group D,Group A (Gr. 12)
Anthony Diclaudio,818925010,Group C,Group B,Group B
Anthony Duffin,262110133,Group E,Group A (Gr. 12),Group B
Anthony Fugate,578121268,Group D,Group E,Group F
Anthony Morgon,838520989,Group C,Group E,Group D
Anthony Morse,697055188,Group E,Group C,Group F
Anthony Norris,931591315,Group F,Group E,Group D
Anthony Pollard,744715987,Group A (Gr. 12),Group F,Group C
Anthony Sims,600498344,Group F,Group B,Group E
Anthony Smith,343816539,Group C,Group A (Gr. 12),Group F
Anthony Stacy,227984876,Group B,Group C,Group C
Antoinette Hernandez,703677634,Group D,Group B,Group B
Antonia Henry,864158012,Group D,Group C,Group F
Antonio Ellenberger,623401252,Group D,Group D,Group E
Antonio Hansen,250981277,Group C,Group B,Group D
Antonio Harris,730119266,Group C,Group E,Group C
Aracely Hungate,317244460,Group A (Gr. 12),Group C,Group C
Arnold Chewning,940432490,Group B,Group E,Group A (Gr. 12)
Arnold Hill,278857040,Group F,Group B,Group D
Arnold Nejaime,981571534,Group B,Group E,Group D
Arnulfo Buckley,472294290,Group E,Group F,Group F
Aron Carter,307718140,Group E,Group F,Group D
Arthur Kubin,623913138,Group C,Group B,Group D
Arthur Pinson,970411217,Group D,Group C,Group B
Ashlee Cooney,608054773,Group C,Group D,Group A (Gr. 12)
Ashley Barker,786863701,Group B,Group B,Group D
Ashley Blackmon,843102646,Group F,Group B,Group D
Ashley Greer,133288884,Group B,Group A (Gr. 12),Group C
Ashley Nguyen,113045875,Group D,Group A (Gr. 12),Group D
Ashley Ramirez,858344745,Group B,Group C,Group D
Ashley Simmons,136343639,Group B,Group B,Group E
Audrey Oden,796690118,Group F,Group A (Gr. 12),Group C
Ayana Anderson,951582334,Group B,Group F,Group C
Barbara Andersen,231721229,Group C,Group B,Group F
Barbara Blackwell,640926162,Group A (Gr. 12),Group F,Group F
Barbara Brooks,104327095,Group B,Group F,Group F
Barbara Garcia,414789337,Group A (Gr. 12),Group A (Gr. 12),Group E
Barbara Gunter,433324256,Group F,Group F,Group B
Barbara Kuznicki,635801289,Group D,Group D,Group C
Barbara Otter,285915197,Group B,Group D,Group D
Barbara Poole,456704585,Group D,Group B,Group D
Barbara Schlager,478244270,Group D,Group F,Group A (Gr. 12)
Barbara Staplins,514617091,Group C,Group B,Group E
Barbara Tommie,693988757,Group D,Group A (Gr. 12),Group D
Barney Campbell,824304173,Group F,Group D,Group B
Barry Malone,872954964,Group C,Group E,Group C
